"","company","ProdCode","Number","mailad","name","Product","Company_phillips","Company_azko","Company_unilever","Company_vanhouten","product_smartphone","product_tv","product_laptop","product_tablet"
"1","akzo","v","43","Leeuwardenweg 178,arnhem,the netherlands","dhr p. bansen","TV",0,1,0,0,0,1,0,0
"2","akzo","v","12","Leeuwardenweg 179,arnhem,the netherlands","dhr p. vansen","TV",0,1,0,0,0,1,0,0
"3","akzo","x","5","Leeuwardenweg 180,arnhem,the netherlands","dhr p. bransen","Laptop",0,1,0,0,0,0,1,0
"4","akzo","p","34","Leeuwardenweg 181,arnhem,the netherlands","dhr p. janssen","Smartphone",0,1,0,0,1,0,0,0
"5","akzo","q","5","Leeuwardenweg 182,arnhem,the netherlands","mevr l.  rokken","Tablet",0,1,0,0,0,0,0,1
"6","akzo","q","9","Leeuwardenweg 183,arnhem,the netherlands","mevr l.  lokken","Tablet",0,1,0,0,0,0,0,1
"7","akzo","x","8","Leeuwardenweg 184,arnhem,the netherlands","mevr l.  mokken","Laptop",0,1,0,0,0,0,1,0
"8","phillips","p","5","Groningensingel 147,arnhem,the netherlands","dhr p. jansen","Smartphone",1,0,0,0,1,0,0,0
"9","phillips","p","43","Groningensingel 148,arnhem,the netherlands","dhr p. hansen","Smartphone",1,0,0,0,1,0,0,0
"10","phillips","x","3","Groningensingel 149,arnhem,the netherlands","dhr j. Gansen","Laptop",1,0,0,0,0,0,1,0
"11","phillips","x","34","Groningensingel 150,arnhem,the netherlands","dhr p. mansen","Laptop",1,0,0,0,0,0,1,0
"12","phillips","x","12","Groningensingel 151,arnhem,the netherlands","dhr p. fransen","Laptop",1,0,0,0,0,0,1,0
"13","phillips","p","23","Groningensingel 152,arnhem,the netherlands","dhr p. franssen","Smartphone",1,0,0,0,1,0,0,0
"14","phillips","p","56","Delfzijlstraat 54,arnhem,the netherlands","mevr l.  mokken","Smartphone",1,0,0,0,1,0,0,0
"15","phillips","v","67","Delfzijlstraat 55,arnhem,the netherlands","mevr l.  mokken","TV",1,0,0,0,0,1,0,0
"16","phillips","v","21","Delfzijlstraat 56,arnhem,the netherlands","mevr l.  mokken","TV",1,0,0,0,0,1,0,0
"17","unilever","x","3","Jourestraat 23,arnhem,the netherlands","mevr l.  gokken","Laptop",0,0,1,0,0,0,1,0
"18","unilever","q","4","Jourestraat 24,arnhem,the netherlands","mevr l.  stokken","Tablet",0,0,1,0,0,0,0,1
"19","unilever","q","6","Jourestraat 25,arnhem,the netherlands","mevr l.  rokken","Tablet",0,0,1,0,0,0,0,1
"20","unilever","q","8","Jourestraat 26,arnhem,the netherlands","mevr l.  rokken","Tablet",0,0,1,0,0,0,0,1
"21","van houten","x","45","Delfzijlstraat 57,arnhem,the netherlands","mevr l.  sokken","Laptop",0,0,0,1,0,0,1,0
"22","van houten","v","56","Delfzijlstraat 58,arnhem,the netherlands","mevr l.  wokken","TV",0,0,0,1,0,1,0,0
"23","van houten","v","65","Delfzijlstraat 59,arnhem,the netherlands","mevr l.  kokken","TV",0,0,0,1,0,1,0,0
"24","van houten","x","21","Delfzijlstraat 60,arnhem,the netherlands","mevr l.  Bokken","Laptop",0,0,0,1,0,0,1,0
"25","van houten","p","23","Delfzijlstraat 61,arnhem,the netherlands","mevr l.  dokken","Smartphone",0,0,0,1,1,0,0,0
